# settings|flag|mode|bin   （mode 空 = nominalFit）
hza_ele/settings_htoza_elid_gap_2025.py|hza_elid_gap_2025_sf|--altSigBkg|6
hza_ele/settings_htoza_elid_gap_2026.py|hza_elid_gap_2026_sf|--altSigBkg|6
hza_ele/settings_htoza_elid_nongap_2024.py|hza_elid_nongap_2024_sf|--altBkg|2
hza_ele/settings_htoza_elid_nongap_2024.py|hza_elid_nongap_2024_sf|--altSig|2
hza_ele/settings_htoza_elid_nongap_2025.py|hza_elid_nongap_2025_sf|--altBkg|4
hza_ele/settings_htoza_elid_nongap_2026.py|hza_elid_nongap_2026_sf|--altBkg|4
hza_ele/settings_htoza_sielleg30trigger_gap_2025.py|hza_sielleg30trigger_gap_2025_sf|--altSig|5
hza_ele/settings_htoza_sielleg30trigger_nongap_2025.py|hza_sielleg30trigger_nongap_2025_sf||52
hza_ele/settings_htoza_sielleg30trigger_nongap_2026.py|hza_sielleg30trigger_nongap_2026_sf|--altSigBkg|44
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf||38
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf|--altBkg|38
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf|--altSigBkg|38
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf|--altSig|13
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf|--altSig|14
hza_ele/settings_htoza_dielleg23trigger_nongap_2024.py|hza_dielleg23trigger_nongap_2024_sf|--altSig|21
hza_ele/settings_htoza_dielleg23trigger_nongap_2025.py|hza_dielleg23trigger_nongap_2025_sf|--altSigBkg|23
hza_ele/settings_htoza_dielleg23trigger_nongap_2025.py|hza_dielleg23trigger_nongap_2025_sf|--altSigBkg|24
hza_ele/settings_htoza_dielleg23trigger_nongap_2025.py|hza_dielleg23trigger_nongap_2025_sf|--altSigBkg|33
hza_ele/settings_htoza_dielleg23trigger_nongap_2026.py|hza_dielleg23trigger_nongap_2026_sf|--altBkg|0
hza_ele/settings_htoza_dielleg12trigger_gap_2024.py|hza_dielleg12trigger_gap_2024_sf|--altSig|9
hza_ele/settings_htoza_dielleg12trigger_gap_2025.py|hza_dielleg12trigger_gap_2025_sf|--altSig|6
hza_ele/settings_htoza_dielleg12trigger_nongap_2024.py|hza_dielleg12trigger_nongap_2024_sf||46
hza_ele/settings_htoza_dielleg12trigger_nongap_2025.py|hza_dielleg12trigger_nongap_2025_sf|--altSigBkg|41
hza_ele/settings_htoza_dielleg12trigger_nongap_2026.py|hza_dielleg12trigger_nongap_2026_sf|--altBkg|7
hza_ele/settings_htoza_elminiIso0p15_nongap_2024.py|hza_elminiIso0p15_nongap_2024_sf|--altSig|5
hza_ele/settings_htoza_elminiIso0p15_nongap_2024.py|hza_elminiIso0p15_nongap_2024_sf||3
hza_ele/settings_htoza_elminiIso0p15_nongap_2026.py|hza_elminiIso0p15_nongap_2026_sf|--altSig|1
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|16
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|34
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|35
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|36
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|37
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|38
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altBkg|39
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|32
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|33
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|34
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|35
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|36
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|37
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|38
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSigBkg|39
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSig|6
hza_ele/settings_htoza_elminiIso0p1_nongap_2024.py|hza_elminiIso0p1_nongap_2024_sf|--altSig|14
hza_ele/settings_htoza_elminiIso0p1_nongap_2026.py|hza_elminiIso0p1_nongap_2026_sf|--altBkg|23
settings_resolve_pho_lowpt_2023preBPix.py|hza_resolve_phid_lowpt_2023preBPix_sf|--altSigBkg|7
settings_resolve_pho_lowpt_2023preBPix.py|hza_resolve_phid_lowpt_2023preBPix_sf|--altSig|7
settings_resolve_pho_2022postEE.py|hza_resolve_phid_2022postEE_sf||14
